model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
deepseek-chat-v3-0324,61.41,59.75,63.8,1085.0,1194.6971259870957,1182.6527599906015,1212.4158845191705,"(-12.04, +17.72)","(-1.66, +2.39)",2025-04-10
claude-3.7-sonnet(thinking),57.03,55.03,59.75,1248.0,1163.203626149119,1149.053035414556,1182.6474651211906,"(-14.15, +19.44)","(-2.00, +2.72)",2025-04-10
quasar-alpha,55.44,52.84,58.35,909.0,1151.9678147071263,1133.7422211463204,1172.5366948446015,"(-18.23, +20.57)","(-2.60, +2.91)",2025-04-10
deepseek-r1,52.49,50.13,55.64,1218.0,1131.287834658438,1114.9346427343617,1153.3252145718302,"(-16.35, +22.04)","(-2.36, +3.15)",2025-04-10
gemini-2.5-pro-exp-03-25,50.22,46.82,54.07,2577.0,1115.5609236258242,1091.8629031749922,1142.3471171823448,"(-23.70, +26.79)","(-3.40, +3.85)",2025-04-10
claude-3.7-sonnet,50.0,50.0,50.0,1094.0,1114.0,1114.0,1114.0,"(-0.00, +0.00)","(-0.00, +0.00)",2025-04-10
gemini-2.0-pro-exp-02-05,49.73,47.04,53.21,2372.0,1112.1504679451114,1093.38740273319,1136.3588675618228,"(-18.76, +24.21)","(-2.69, +3.48)",2025-04-10
gpt-4.5-preview,48.67,46.13,50.86,1040.0,1104.7408724543056,1087.031416147213,1119.9720316234307,"(-17.71, +15.23)","(-2.54, +2.19)",2025-04-10
o1-high,46.89,44.37,49.34,1512.0,1092.3424286816248,1074.6837958629485,1109.4366180986756,"(-17.66, +17.09)","(-2.52, +2.45)",2025-04-10
o3-mini-high,46.8,43.73,49.51,1265.0,1091.7573125395002,1070.2007462587376,1110.6220893850755,"(-21.56, +18.86)","(-3.07, +2.71)",2025-04-10
chatgpt-4o-latest(2025-03-26),45.54,43.17,48.41,1111.0,1082.8945513386066,1066.2106503653708,1102.9242224055083,"(-16.68, +20.03)","(-2.37, +2.87)",2025-04-10
o1-medium,44.39,41.48,47.17,1490.0,1074.863106029606,1054.2448913466874,1094.2835456474934,"(-20.62, +19.42)","(-2.91, +2.78)",2025-04-10
grok-3-beta,41.32,39.3,43.96,1824.0,1053.0989896863564,1038.4681622720873,1071.8492416593986,"(-14.63, +18.75)","(-2.02, +2.64)",2025-04-10
o1-low,38.26,35.59,40.48,1513.0,1030.8968249511192,1010.91519835037,1047.055690826355,"(-19.98, +16.16)","(-2.67, +2.22)",2025-04-10
o3-mini-medium,37.3,34.73,39.86,1221.0,1023.7760100428461,1004.4141909501936,1042.5854393276716,"(-19.36, +18.81)","(-2.57, +2.56)",2025-04-10
command-a,37.17,35.05,39.91,1083.0,1022.7806266096283,1006.8067076316778,1042.923286163004,"(-15.97, +20.14)","(-2.12, +2.74)",2025-04-10
qwen-max,36.22,33.69,39.24,1420.0,1015.7109336557679,996.3528606874015,1038.0724056406245,"(-19.36, +22.36)","(-2.53, +3.02)",2025-04-10
gpt-4o-2024-11-20,33.79,31.82,35.51,1142.0,997.181170522572,981.6098497088484,1010.3271334592939,"(-15.57, +13.15)","(-1.97, +1.72)",2025-04-10
qwq-32b,32.94,30.83,35.47,1517.0,990.4735189354514,973.6013754427588,1010.0449801581087,"(-16.87, +19.57)","(-2.11, +2.53)",2025-04-10
claude-3.5-sonnet,32.77,29.81,34.95,682.0,989.1652243325033,965.2693030195292,1006.0685098099849,"(-23.90, +16.90)","(-2.96, +2.18)",2025-04-10
