model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
deepseek-chat-v3-0324,57.74,55.32,60.57,1085.0,1168.198396267478,1151.1218962013866,1188.5517412675642,"(-17.08, +20.35)","(-2.42, +2.83)",2025-04-10
quasar-alpha,55.48,53.26,58.47,909.0,1152.2172549993243,1136.672085699066,1173.4004736519603,"(-15.55, +21.18)","(-2.22, +2.99)",2025-04-10
claude-3.7-sonnet(thinking),53.65,51.35,56.34,1248.0,1139.37881230122,1123.3549458205675,1158.322123361814,"(-16.02, +18.94)","(-2.30, +2.69)",2025-04-10
gemini-2.5-pro-exp-03-25,52.06,49.65,54.9,2577.0,1128.3500973299529,1111.5661020909276,1148.1670275185797,"(-16.78, +19.82)","(-2.41, +2.84)",2025-04-10
gemini-2.0-pro-exp-02-05,51.76,48.74,55.39,2372.0,1126.2179570487865,1105.2404645178317,1151.6102966444716,"(-20.98, +25.39)","(-3.02, +3.63)",2025-04-10
chatgpt-4o-latest(2025-03-26),50.84,47.88,53.17,1111.0,1119.8521026728367,1099.2861609183271,1136.071124780272,"(-20.57, +16.22)","(-2.96, +2.33)",2025-04-10
claude-3.7-sonnet,50.0,50.0,50.0,1094.0,1114.0,1114.0,1114.0,"(-0.00, +0.00)","(-0.00, +0.00)",2025-04-10
deepseek-r1,49.73,46.94,53.18,1218.0,1112.1370968842652,1092.7176238000645,1136.138450826578,"(-19.42, +24.00)","(-2.79, +3.45)",2025-04-10
o3-mini-high,48.8,46.23,51.25,1265.0,1105.6675038792887,1087.766136339664,1122.7109712609163,"(-17.90, +17.04)","(-2.57, +2.45)",2025-04-10
o1-high,48.55,45.98,51.43,1512.0,1103.938048692176,1085.9862153440858,1123.9369618256014,"(-17.95, +20.00)","(-2.57, +2.88)",2025-04-10
gpt-4.5-preview,46.9,44.7,49.47,1040.0,1092.4095216202572,1077.046825971034,1110.3204712196136,"(-15.36, +17.91)","(-2.20, +2.57)",2025-04-10
o1-medium,46.46,43.32,49.1,1490.0,1089.3896551292364,1067.3072152924456,1107.7569830933644,"(-22.08, +18.37)","(-3.14, +2.64)",2025-04-10
o1-low,40.95,38.69,43.67,1513.0,1050.4159468518183,1033.9971058190472,1069.810638914517,"(-16.42, +19.39)","(-2.26, +2.72)",2025-04-10
o3-mini-medium,39.59,37.06,41.58,1221.0,1040.5648571301406,1021.9843779214359,1054.9402227136873,"(-18.58, +14.38)","(-2.53, +1.99)",2025-04-10
claude-3.5-sonnet,37.94,34.94,40.39,682.0,1028.4900926110927,1006.0312727714878,1046.371525085192,"(-22.46, +17.88)","(-3.00, +2.45)",2025-04-10
grok-3-beta,36.83,34.18,39.6,1824.0,1020.3082779045673,1000.1776652623602,1040.6424569330538,"(-20.13, +20.33)","(-2.65, +2.77)",2025-04-10
o3-mini-low,33.72,31.16,36.03,1205.0,996.5829625487049,976.2844160864248,1014.2666766803743,"(-20.30, +17.68)","(-2.56, +2.31)",2025-04-10
command-a,33.65,31.41,36.03,1083.0,996.0693833025797,978.3318994538685,1014.311378227389,"(-17.74, +18.24)","(-2.24, +2.38)",2025-04-10
qwen-max,31.03,29.07,33.0,1420.0,975.266215502943,959.0450146797441,990.952343416437,"(-16.22, +15.69)","(-1.96, +1.97)",2025-04-10
gpt-4o-2024-11-20,30.0,28.22,31.8,1142.0,966.8160563769397,951.8315817486258,981.4682789045976,"(-14.98, +14.65)","(-1.78, +1.80)",2025-04-10
gemini-2.0-flash-thinking-exp-01-21,29.64,27.32,32.0,2497.0,963.8319300725395,944.0457068997955,983.075824536029,"(-19.79, +19.24)","(-2.32, +2.36)",2025-04-10
qwq-32b,28.81,27.23,31.08,1517.0,956.8101659939116,943.2248118037894,975.681919694558,"(-13.59, +18.87)","(-1.58, +2.27)",2025-04-10
grok-3-mini-beta,27.33,25.51,29.05,2010.0,944.1120385187322,927.819047494153,958.9070244312951,"(-16.29, +14.79)","(-1.82, +1.72)",2025-04-10
claude-3.5-haiku,26.53,23.54,29.6,601.0,937.0564011570393,909.3363655666727,963.4702831839501,"(-27.72, +26.41)","(-2.99, +3.07)",2025-04-10
qwen-plus,25.7,23.85,27.67,1346.0,929.5943624257997,912.2988752451414,947.0523387256133,"(-17.30, +17.46)","(-1.85, +1.97)",2025-04-10
claude-3.5-sonnet-20240620,24.74,22.59,27.02,628.0,920.7164009003461,900.0605999610297,941.4245113356044,"(-20.66, +20.71)","(-2.15, +2.28)",2025-04-10
gemini-2.0-flash-001,24.28,22.08,25.75,1901.0,916.4582292212517,894.9840058748606,930.0213539253305,"(-21.47, +13.56)","(-2.20, +1.47)",2025-04-10
deepseek-v3,22.36,20.89,24.4,1007.0,897.7380031854173,882.716002486141,917.549366456528,"(-15.02, +19.81)","(-1.47, +2.04)",2025-04-10
gemma-3-27b-it,20.9,19.35,22.54,1655.0,882.8100739745353,865.9820911338543,899.5842917289275,"(-16.83, +16.77)","(-1.55, +1.64)",2025-04-10
gemini-2.0-flash-lite-001,18.78,17.18,20.43,2196.0,859.61143284595,840.7105356392835,877.8034794498598,"(-18.90, +18.19)","(-1.60, +1.65)",2025-04-10
grok-2-1212,13.55,12.13,14.88,898.0,792.0685918746838,770.0248450192361,811.0728121639474,"(-22.04, +19.00)","(-1.42, +1.33)",2025-04-10
jamba-1.6-large,12.13,10.85,13.7,863.0,769.9367144945822,748.1407263568068,794.3296871350844,"(-21.80, +24.39)","(-1.28, +1.57)",2025-04-10
