model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
gemini-2.5-pro-exp-03-25,83.44,81.84,84.88,2577.0,1394.9132804039514,1375.5372400433348,1413.7268670310755,"(-19.38, +18.81)","(-1.60, +1.44)",2025-04-10
gemini-2.0-pro-exp-02-05,76.29,74.35,78.26,2372.0,1317.0588685399075,1298.8884509399334,1336.4739008746308,"(-18.17, +19.42)","(-1.94, +1.97)",2025-04-10
o1-high,65.72,63.73,68.35,1512.0,1227.0247852949028,1211.90610995298,1247.7840700558497,"(-15.12, +20.76)","(-1.99, +2.63)",2025-04-10
gemini-2.0-flash-thinking-exp-01-21,64.52,62.52,66.85,2497.0,1217.8991835813931,1202.9160898660116,1235.8465081942663,"(-14.98, +17.95)","(-2.00, +2.33)",2025-04-10
o1-medium,61.65,58.96,63.9,1490.0,1196.476552298233,1176.939557458195,1213.1913499241452,"(-19.54, +16.71)","(-2.69, +2.25)",2025-04-10
o3-mini-high,60.59,57.83,62.91,1265.0,1188.728096770144,1168.8325467031282,1205.7994459126026,"(-19.90, +17.07)","(-2.76, +2.32)",2025-04-10
o1-low,57.99,55.43,60.07,1513.0,1169.9988231557904,1151.9001536094113,1184.9161629504704,"(-18.10, +14.92)","(-2.56, +2.08)",2025-04-10
grok-3-beta,55.42,52.29,58.09,1824.0,1151.7858245015886,1129.9193999185297,1170.719783560001,"(-21.87, +18.93)","(-3.13, +2.67)",2025-04-10
chatgpt-4o-latest(2025-03-26),55.12,52.54,57.62,1111.0,1149.6829632426636,1131.6657099767938,1167.3923619370078,"(-18.02, +17.71)","(-2.58, +2.50)",2025-04-10
deepseek-chat-v3-0324,53.34,51.33,55.91,1085.0,1137.230969556068,1123.2310059894664,1155.2361709880315,"(-14.00, +18.01)","(-2.01, +2.57)",2025-04-10
claude-3.7-sonnet(thinking),51.04,49.11,53.67,1248.0,1121.2025051204014,1107.8488570789577,1139.5214577147156,"(-13.35, +18.32)","(-1.93, +2.63)",2025-04-10
o3-mini-medium,50.61,48.12,53.38,1221.0,1118.234874079337,1100.916575188099,1137.5095706570496,"(-17.32, +19.27)","(-2.49, +2.77)",2025-04-10
claude-3.7-sonnet,50.0,50.0,50.0,1094.0,1114.0,1114.0,1114.0,"(-0.00, +0.00)","(-0.00, +0.00)",2025-04-10
gemini-2.0-flash-001,49.34,46.9,52.29,1901.0,1109.394621760102,1092.3984595670865,1129.9387432975825,"(-17.00, +20.54)","(-2.44, +2.95)",2025-04-10
grok-3-mini-beta,48.0,45.75,50.37,2010.0,1100.1025224744521,1084.404234077974,1116.5380073149465,"(-15.70, +16.44)","(-2.25, +2.37)",2025-04-10
deepseek-r1,47.06,44.59,49.68,1218.0,1093.5503145984844,1076.2423681493315,1111.7565118796708,"(-17.31, +18.21)","(-2.47, +2.62)",2025-04-10
quasar-alpha,46.5,44.45,48.92,909.0,1089.6725894851452,1075.2969193540375,1106.5101265693254,"(-14.38, +16.84)","(-2.05, +2.42)",2025-04-10
gemini-2.0-flash-lite-001,45.51,43.35,47.61,2196.0,1082.7490191448715,1067.5370161291783,1097.3607460932483,"(-15.21, +14.61)","(-2.16, +2.10)",2025-04-10
o3-mini-low,44.53,42.26,47.16,1205.0,1075.8504769938463,1059.7853769249252,1094.221378048836,"(-16.07, +18.37)","(-2.27, +2.63)",2025-04-10
gpt-4.5-preview,42.86,39.84,45.3,1040.0,1064.0493425938869,1042.3845209219708,1081.2276919636809,"(-21.66, +17.18)","(-3.02, +2.44)",2025-04-10
gemma-3-27b-it,40.95,38.47,43.21,1655.0,1050.3892097181642,1032.3995777995879,1066.513356380379,"(-17.99, +16.12)","(-2.48, +2.26)",2025-04-10
qwen-max,39.25,36.26,41.22,1420.0,1038.146951440588,1015.980993290826,1052.3813770869988,"(-22.17, +14.23)","(-2.99, +1.97)",2025-04-10
command-a,33.75,31.68,35.82,1083.0,996.8559279434648,980.4832550979337,1012.712544797176,"(-16.37, +15.86)","(-2.07, +2.07)",2025-04-10
