model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
gemini-2.5-pro-exp-03-25,85.71,84.49,86.59,2577.0,1311.2604944964023,1291.3060071632128,1336.6375607483571,"(-19.95, +25.38)","(-1.22, +0.88)",2025-04-02
gemini-2.0-pro-exp-02-05,77.88,76.76,78.97,2372.0,1218.7028781371891,1204.2829659786223,1242.589641478698,"(-14.42, +23.89)","(-1.12, +1.09)",2025-04-02
gemini-2.0-flash-thinking-exp-01-21,67.54,66.22,68.7,2488.0,1127.2856156456514,1113.7238686006967,1149.2959335254482,"(-13.56, +22.01)","(-1.32, +1.16)",2025-04-02
deepseek-chat-v3-0324,65.62,64.08,66.81,1085.0,1112.3007663939716,1097.3045768456527,1134.2390163282985,"(-15.00, +21.94)","(-1.54, +1.19)",2025-04-02
claude-3.7-sonnet(thinking),59.99,58.76,61.41,1248.0,1070.3339780000433,1058.2623274411833,1093.3931013130791,"(-12.07, +23.06)","(-1.23, +1.42)",2025-04-02
o1-high,57.41,55.84,58.54,1503.0,1051.90193042273,1037.560882659488,1072.6566442935193,"(-14.34, +20.75)","(-1.57, +1.13)",2025-04-02
deepseek-r1,55.47,53.96,57.01,1211.0,1038.178680020722,1024.3600483252833,1061.748855723183,"(-13.82, +23.57)","(-1.51, +1.54)",2025-04-02
o1-medium,53.57,52.1,55.43,1487.0,1024.8290092176144,1011.3389472132535,1050.556248292281,"(-13.49, +25.73)","(-1.47, +1.86)",2025-04-02
o3-mini-high,53.22,51.74,54.83,1257.0,1022.4184910539424,1008.8835450794335,1046.3775684779885,"(-13.53, +23.96)","(-1.48, +1.61)",2025-04-02
gemini-2.0-flash-001,52.93,51.63,54.5,1901.0,1020.3809059890046,1008.1156277719305,1044.0744391186622,"(-12.27, +23.69)","(-1.30, +1.57)",2025-04-02
o1-low,50.4,49.71,51.73,1513.0,1002.7507715137099,994.7217842343485,1024.750127137456,"(-8.03, +22.00)","(-0.69, +1.33)",2025-04-02
claude-3.7-sonnet,50.0,50.0,50.0,1094.0,1000.0,996.7698213252319,1012.6961617318162,"(-3.23, +12.70)","(-0.00, +0.00)",2025-04-02
chatgpt-4o-latest(2025-03-26),49.3,48.06,50.86,1111.0,995.1619771554564,983.286652517845,1018.6666776990025,"(-11.88, +23.50)","(-1.24, +1.56)",2025-04-02
gemini-2.0-flash-lite-001,49.24,47.45,51.02,2196.0,994.7215150482266,979.0103155033895,1019.7624970193124,"(-15.71, +25.04)","(-1.79, +1.78)",2025-04-02
gpt-4.5-preview,48.23,46.47,49.85,1040.0,987.7298467631327,972.1821962312142,1011.6624236771867,"(-15.55, +23.93)","(-1.76, +1.62)",2025-04-02
qwq-32b,46.39,44.69,48.51,1324.0,974.8379104970898,959.7180733571038,1002.3696440215508,"(-15.12, +27.53)","(-1.70, +2.12)",2025-04-02
gemma-3-27b-it,45.14,43.8,46.23,1654.0,966.0963966048344,953.488686860496,986.47309150358,"(-12.61, +20.38)","(-1.34, +1.09)",2025-04-02
o3-mini-medium,44.14,42.94,45.8,1221.0,959.0685925622258,947.3792850914368,983.4116503084653,"(-11.69, +24.34)","(-1.20, +1.66)",2025-04-02
command-a,43.54,42.18,45.52,1083.0,954.8566484969512,941.9888988881116,981.4797142457838,"(-12.87, +26.62)","(-1.36, +1.98)",2025-04-02
