model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
claude-3.7-sonnet,50.0,50.0,50.0,1094.0,1114.0,1114.0,1114.0,"(-0.00, +0.00)","(-0.00, +0.00)",2025-03-27
deepseek-chat-v3-0324,49.59,47.25,51.34,1085.0,1111.1603981185124,1094.902631446131,1123.3439110914396,"(-16.26, +12.18)","(-2.34, +1.75)",2025-03-27
gemini-2.0-pro-exp-02-05,47.56,45.73,50.77,2372.0,1097.0650540147362,1084.2493508519406,1119.3296309010093,"(-12.82, +22.26)","(-1.83, +3.21)",2025-03-27
gemini-2.5-pro-exp-03-25,47.45,44.37,49.92,2577.0,1096.2613763077588,1074.7322339689522,1113.4764614527305,"(-21.53, +17.22)","(-3.08, +2.47)",2025-03-27
deepseek-r1,44.07,41.4,47.02,1211.0,1072.5656380391429,1053.6539179986576,1093.283337771417,"(-18.91, +20.72)","(-2.67, +2.95)",2025-03-27
o1-high,42.87,40.3,45.19,1503.0,1064.1486499469834,1045.720785539597,1080.4972291398508,"(-18.43, +16.35)","(-2.57, +2.32)",2025-03-27
o3-mini-high,41.86,40.0,44.66,1257.0,1056.9084488806852,1043.5673118325753,1076.7295336058269,"(-13.34, +19.82)","(-1.86, +2.80)",2025-03-27
o1-medium,41.04,39.14,43.61,1487.0,1051.0256203585864,1037.2898206156735,1069.38477766956,"(-13.74, +18.36)","(-1.90, +2.57)",2025-03-27
gpt-4.5-preview,40.81,39.02,42.24,1040.0,1049.3884784324011,1036.4325999865118,1059.6076843015933,"(-12.96, +10.22)","(-1.79, +1.43)",2025-03-27
o1-low,37.31,35.1,39.22,1513.0,1023.8277444077207,1007.2618285442422,1037.9046710169416,"(-16.57, +14.08)","(-2.21, +1.91)",2025-03-27
claude-3.5-sonnet,37.04,34.67,39.63,682.0,1021.8729918614592,1003.9416465442954,1040.9015770935764,"(-17.93, +19.03)","(-2.37, +2.59)",2025-03-27
o3-mini-medium,35.2,32.71,37.07,1221.0,1007.9619450698011,988.6575443685131,1022.044224478667,"(-19.30, +14.08)","(-2.49, +1.87)",2025-03-27
command-a,34.31,32.26,36.64,1083.0,1001.1981464897581,985.1096093444927,1018.8282061293878,"(-16.09, +17.63)","(-2.05, +2.33)",2025-03-27
gemini-2.0-flash-thinking-exp-01-21,32.45,29.69,34.11,2488.0,986.6164161423942,964.2587611170717,999.6588645513003,"(-22.36, +13.04)","(-2.76, +1.66)",2025-03-27
o3-mini-low,32.38,29.98,34.35,1205.0,986.043785738585,966.6385669014248,1001.4959873785809,"(-19.41, +15.45)","(-2.40, +1.97)",2025-03-27
gpt-4o-2024-11-20,30.8,28.79,32.8,1142.0,973.3564318154081,956.6632419736596,989.4050708536723,"(-16.69, +16.05)","(-2.01, +2.00)",2025-03-27
claude-3.5-haiku,28.67,26.37,31.8,601.0,955.6394790353634,935.6057739293278,981.425443259695,"(-20.03, +25.79)","(-2.30, +3.13)",2025-03-27
gemini-2.0-flash-001,27.65,25.88,29.4,1901.0,946.9132885934947,931.2087559808795,961.8137809749035,"(-15.70, +14.90)","(-1.77, +1.75)",2025-03-27
gemma-3-27b-it,26.53,24.58,28.45,1654.0,937.0592150237367,919.1962257626445,953.7713531743204,"(-17.86, +16.71)","(-1.95, +1.92)",2025-03-27
gemini-2.0-flash-lite-001,25.0,23.22,26.94,2196.0,923.1099508866116,906.2538943202189,940.710717632309,"(-16.86, +17.60)","(-1.78, +1.94)",2025-03-27
deepseek-v3,23.77,22.05,25.26,1007.0,911.5135896183242,894.662066809374,925.5596597768497,"(-16.85, +14.05)","(-1.72, +1.49)",2025-03-27
claude-3.5-sonnet-20240620,23.46,21.21,26.17,628.0,908.5732141363455,885.9991867952709,933.8636487552085,"(-22.57, +25.29)","(-2.25, +2.71)",2025-03-27
jamba-1.6-large,17.5,16.02,18.99,859.0,844.6473387377907,826.1480387868053,861.9750274537923,"(-18.50, +17.33)","(-1.48, +1.49)",2025-03-27
