model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
o3-high,86.93,85.3,88.66,1453.0,1443.1957729565768,1419.477231719878,1471.2642105327952,"(-23.72, +28.07)","(-1.63, +1.73)",2025-04-23
o3-low,86.22,85.0,87.67,1306.0,1432.482071444006,1415.2981759576273,1454.764986819152,"(-17.18, +22.28)","(-1.22, +1.45)",2025-04-23
o3-medium,83.83,82.02,85.65,1432.0,1399.8756732371223,1377.627072967155,1424.3168302857828,"(-22.25, +24.44)","(-1.81, +1.82)",2025-04-23
o4-mini-high,79.16,77.01,81.14,1084.0,1345.8780146299127,1324.0108634082876,1367.5005459549598,"(-21.87, +21.62)","(-2.15, +1.98)",2025-04-23
o4-mini-medium,77.2,75.47,79.26,1053.0,1325.834724983307,1309.2548985805668,1346.8717460487296,"(-16.58, +21.04)","(-1.73, +2.06)",2025-04-23
o4-mini-low,73.36,70.99,75.35,1020.0,1289.9549232775407,1269.4937841586552,1308.1416706843488,"(-20.46, +18.19)","(-2.37, +1.99)",2025-04-23
deepseek-chat-v3-0324,62.7,60.76,65.13,1085.0,1204.1957631716584,1189.9243279754862,1222.5344366548102,"(-14.27, +18.34)","(-1.94, +2.43)",2025-04-23
gpt-4.1-2025-04-14,61.1,58.4,63.22,949.0,1192.442819183715,1172.9507144190418,1208.0780174777094,"(-19.49, +15.64)","(-2.70, +2.12)",2025-04-23
claude-3.7-sonnet(thinking),58.25,55.94,60.89,1248.0,1171.829221730036,1155.4452669360523,1190.887098448037,"(-16.38, +19.06)","(-2.31, +2.64)",2025-04-23
quasar-alpha,56.6,54.87,59.28,909.0,1160.0996721455049,1147.925470436998,1179.2688617168044,"(-12.17, +19.17)","(-1.73, +2.68)",2025-04-23
deepseek-r1,53.74,51.08,56.41,1218.0,1140.0269329742048,1121.4955198518478,1158.7531532143025,"(-18.53, +18.73)","(-2.66, +2.67)",2025-04-23
gemini-2.5-pro-exp-03-25,51.12,47.99,54.98,2577.0,1121.7517017442776,1100.038295679297,1148.724866280684,"(-21.71, +26.97)","(-3.13, +3.86)",2025-04-23
gemini-2.0-pro-exp-02-05,50.67,47.7,54.55,2372.0,1118.665695307126,1097.9844010564404,1145.682185386026,"(-20.68, +27.02)","(-2.97, +3.88)",2025-04-23
claude-3.7-sonnet,50.0,50.0,50.0,1094.0,1114.0,1114.0,1114.0,"(-0.00, +0.00)","(-0.00, +0.00)",2025-04-23
gpt-4.5-preview,49.84,47.43,52.83,1040.0,1112.8814247995292,1096.1605051767165,1133.7062194277416,"(-16.72, +20.82)","(-2.41, +2.99)",2025-04-23
