model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
o3-high,88.07,86.09,89.23,1453.0,1461.1977592594565,1430.6582462617162,1481.365969521216,"(-30.54, +20.17)","(-1.98, +1.16)",2025-04-23
o3-low,87.51,86.29,88.94,1306.0,1452.2690498154896,1433.5223424712794,1476.094362574263,"(-18.75, +23.83)","(-1.22, +1.43)",2025-04-23
o3-medium,85.25,83.34,86.67,1432.0,1418.82586151483,1393.609367099727,1439.207361628771,"(-25.22, +20.38)","(-1.91, +1.42)",2025-04-23
o4-mini-high,81.41,79.92,83.52,1084.0,1370.5631843969688,1353.9854887464292,1395.9898974233465,"(-16.58, +25.43)","(-1.49, +2.11)",2025-04-23
o4-mini-medium,79.65,77.95,81.4,1053.0,1351.0670727337986,1333.4068567824172,1370.441071101522,"(-17.66, +19.37)","(-1.70, +1.75)",2025-04-23
o4-mini-low,76.38,74.2,78.55,1020.0,1317.8908642407328,1297.5446663788953,1339.5177656900078,"(-20.35, +21.63)","(-2.18, +2.17)",2025-04-23
deepseek-chat-v3-0324,59.5,56.89,62.0,1085.0,1180.8095495595192,1162.2000305829072,1199.0565677669197,"(-18.61, +18.25)","(-2.61, +2.50)",2025-04-23
gpt-4.1-2025-04-14,57.83,55.38,60.64,949.0,1168.8306972857079,1151.5320792278178,1189.0780802708446,"(-17.30, +20.25)","(-2.45, +2.81)",2025-04-23
quasar-alpha,56.82,54.3,59.27,909.0,1161.6947734195517,1143.9602621019194,1179.135565569019,"(-17.73, +17.44)","(-2.52, +2.45)",2025-04-23
claude-3.7-sonnet(thinking),55.62,53.3,58.43,1248.0,1153.2513924025238,1136.9800982944557,1173.1770497535822,"(-16.27, +19.93)","(-2.32, +2.81)",2025-04-23
gemini-2.5-pro-exp-03-25,52.03,48.57,57.0,2577.0,1128.096964478072,1104.0320501946796,1162.9688256422796,"(-24.06, +34.87)","(-3.46, +4.97)",2025-04-23
gemini-2.0-pro-exp-02-05,51.76,48.37,55.54,2372.0,1126.2221778217809,1102.6605195535878,1152.6729884213075,"(-23.56, +26.45)","(-3.39, +3.78)",2025-04-23
chatgpt-4o-latest(2025-03-26),51.56,48.65,54.12,1111.0,1124.8654114623905,1104.6043434641322,1142.673741026184,"(-20.26, +17.81)","(-2.91, +2.56)",2025-04-23
deepseek-r1,51.08,48.34,54.46,1218.0,1121.4960252250612,1102.4861374358945,1145.0815122407512,"(-19.01, +23.59)","(-2.74, +3.38)",2025-04-23
claude-3.7-sonnet,50.0,50.0,50.0,1094.0,1114.0,1114.0,1114.0,"(-0.00, +0.00)","(-0.00, +0.00)",2025-04-23
o3-mini-high,49.71,47.31,52.2,1265.0,1111.9867944669475,1095.2755753169445,1129.3206425206592,"(-16.71, +17.33)","(-2.40, +2.49)",2025-04-23
o1-high,49.4,46.93,51.89,1512.0,1109.8506218421926,1092.6463833941013,1127.1076313021497,"(-17.20, +17.26)","(-2.47, +2.49)",2025-04-23
gpt-4.5-preview,48.67,45.9,51.94,1040.0,1104.7404277071155,1085.4229361628659,1127.4883793859547,"(-19.32, +22.75)","(-2.77, +3.27)",2025-04-23
o1-medium,47.27,44.59,50.04,1490.0,1094.9969867412613,1076.265517895413,1114.2808730618196,"(-18.73, +19.28)","(-2.68, +2.77)",2025-04-23
gpt-4.1-mini-2025-04-14,47.26,45.11,49.25,1080.0,1094.9417262591592,1079.9246581638993,1108.7981537272708,"(-15.02, +13.86)","(-2.15, +1.99)",2025-04-23
