model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
o3-high,91.07,90.1,92.14,1453.0,1517.4741482035124,1497.592563188628,1541.5894899041496,"(-19.88, +24.12)","(-0.97, +1.07)",2025-04-23
o3-medium,90.0,89.11,91.19,1432.0,1495.770741946112,1479.0781362120863,1519.926651629426,"(-16.69, +24.16)","(-0.89, +1.19)",2025-04-23
o3-low,89.74,88.74,90.9,1306.0,1490.6881281709184,1472.5746699097124,1513.731282400364,"(-18.11, +23.04)","(-1.00, +1.16)",2025-04-23
gemini-2.5-pro-exp-03-25,82.89,81.24,84.73,2577.0,1388.0436348762466,1368.5923958320914,1411.7324835642378,"(-19.45, +23.69)","(-1.65, +1.84)",2025-04-23
o4-mini-high,81.14,79.67,82.94,1084.0,1367.5287783306921,1351.311992976034,1388.6671931881035,"(-16.22, +21.14)","(-1.47, +1.80)",2025-04-23
o4-mini-medium,79.74,77.89,81.45,1053.0,1352.0597575117831,1332.7819972832178,1371.021140043667,"(-19.28, +18.96)","(-1.85, +1.71)",2025-04-23
o4-mini-low,76.37,74.64,78.82,1020.0,1317.7582879223112,1301.518687568539,1342.2684115895313,"(-16.24, +24.51)","(-1.73, +2.45)",2025-04-23
gemini-2.0-pro-exp-02-05,75.5,73.85,77.27,2372.0,1309.5075964889586,1294.3517775152761,1326.5749605382355,"(-15.16, +17.07)","(-1.65, +1.77)",2025-04-23
gemini-2.5-flash-preview(thinking),73.33,71.02,75.17,2521.0,1289.7243225122875,1269.7184193114972,1306.4330237571073,"(-20.01, +16.71)","(-2.31, +1.84)",2025-04-23
o1-high,65.13,62.62,67.45,1512.0,1222.5503425294376,1203.641163514454,1240.5966917320643,"(-18.91, +18.05)","(-2.51, +2.32)",2025-04-23
gemini-2.0-flash-thinking-exp-01-21,63.63,61.65,66.16,2497.0,1211.176474048396,1196.4436915774133,1230.4511353859762,"(-14.73, +19.27)","(-1.98, +2.53)",2025-04-23
o1-medium,60.98,58.7,63.18,1490.0,1191.581247476416,1175.087519127778,1207.7944561120948,"(-16.49, +16.21)","(-2.28, +2.20)",2025-04-23
o3-mini-high,59.99,57.67,62.5,1265.0,1184.3698233654825,1167.7379234413147,1202.7671315364964,"(-16.63, +18.40)","(-2.32, +2.51)",2025-04-23
o1-low,57.29,54.88,59.99,1513.0,1164.9911887094008,1148.0290844639453,1184.3518696561669,"(-16.96, +19.36)","(-2.41, +2.70)",2025-04-23
grok-3-beta,56.25,53.61,58.28,1824.0,1157.683442772501,1139.1305868517045,1172.0917885149672,"(-18.55, +14.41)","(-2.64, +2.03)",2025-04-23
gemini-2.5-flash-preview,55.93,53.19,58.43,2299.0,1155.4131076682227,1136.1889043603974,1173.162718739541,"(-19.22, +17.75)","(-2.74, +2.50)",2025-04-23
deepseek-chat-v3-0324,54.07,51.64,56.49,1085.0,1142.309560377143,1125.4245320284165,1159.333034846334,"(-16.89, +17.02)","(-2.43, +2.42)",2025-04-23
