model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
gemini-2.5-pro-exp-03-25,79.56,77.77,81.63,2577.0,1350.0551164440133,1331.5034213026158,1373.0470903137202,"(-18.55, +22.99)","(-1.79, +2.07)",2025-03-28
gemini-2.0-pro-exp-02-05,73.27,71.39,75.22,2372.0,1289.145182675965,1272.8800134723333,1306.9383653708553,"(-16.27, +17.79)","(-1.88, +1.95)",2025-03-28
gemini-2.0-flash-thinking-exp-01-21,65.62,63.48,67.59,2488.0,1226.2855175616473,1210.0316915317685,1241.7137377724966,"(-16.25, +15.43)","(-2.14, +1.97)",2025-03-28
o1-high,61.13,58.81,63.53,1503.0,1192.6442976316773,1175.8870141232967,1210.4418506014188,"(-16.76, +17.80)","(-2.32, +2.40)",2025-03-28
o1-medium,57.25,55.3,59.47,1487.0,1164.738026412877,1150.957886930992,1180.596437904563,"(-13.78, +15.86)","(-1.95, +2.22)",2025-03-28
o1-low,54.78,52.43,57.1,1513.0,1147.316491865729,1130.8883173514448,1163.6924642464792,"(-16.43, +16.38)","(-2.35, +2.32)",2025-03-28
o3-mini-high,54.21,51.87,56.88,1257.0,1143.3280069259597,1127.0274323028848,1162.120005081515,"(-16.30, +18.79)","(-2.34, +2.67)",2025-03-28
gemini-2.0-flash-lite-001,53.25,51.15,55.34,2196.0,1136.60852600806,1121.9973481960214,1151.24542727855,"(-14.61, +14.64)","(-2.10, +2.09)",2025-03-28
gemini-2.0-flash-001,53.23,50.47,55.13,1901.0,1136.481090915221,1117.2637287910752,1149.7852027709177,"(-19.22, +13.30)","(-2.76, +1.90)",2025-03-28
chatgpt-4o-latest(2025-03-26),50.78,48.04,53.13,1111.0,1119.403393563839,1100.3819523838333,1135.7758277852997,"(-19.02, +16.37)","(-2.74, +2.35)",2025-03-28
claude-3.7-sonnet,50.0,50.0,50.0,1094.0,1114.0,1114.0,1114.0,"(-0.00, +0.00)","(-0.00, +0.00)",2025-03-28
deepseek-chat-v3-0324,47.52,45.55,49.91,1085.0,1096.772342241103,1083.0147132912182,1113.3570478346014,"(-13.76, +16.58)","(-1.97, +2.39)",2025-03-28
gemma-3-27b-it,47.21,44.48,49.49,1654.0,1094.5937788601696,1075.4681266248408,1110.4893861630337,"(-19.13, +15.90)","(-2.73, +2.28)",2025-03-28
o3-mini-medium,46.77,43.94,48.88,1221.0,1091.512041783626,1071.6692737534797,1106.1993644460454,"(-19.84, +14.69)","(-2.83, +2.11)",2025-03-28
o3-mini-low,43.59,41.21,45.74,1205.0,1069.1834590444596,1052.309033805023,1084.3154258167883,"(-16.87, +15.13)","(-2.38, +2.15)",2025-03-28
deepseek-r1,42.23,40.75,44.48,1211.0,1059.5972381118745,1048.9542193596317,1075.4624335972467,"(-10.64, +15.87)","(-1.48, +2.25)",2025-03-28
gpt-4.5-preview,39.02,36.91,41.49,1040.0,1036.4301416114695,1020.8507651628196,1054.2729742940865,"(-15.58, +17.84)","(-2.11, +2.47)",2025-03-28
command-a,35.36,33.45,37.25,1083.0,1009.2059206807423,994.4868313210154,1023.3838128759369,"(-14.72, +14.18)","(-1.91, +1.89)",2025-03-28
gpt-4o-2024-11-20,32.67,30.77,34.73,1142.0,988.3693011930063,973.1260144394802,1004.4042075308771,"(-15.24, +16.03)","(-1.90, +2.06)",2025-03-28
claude-3.5-sonnet,24.71,23.33,26.89,682.0,920.4817672823377,907.3170807338859,940.2319672855191,"(-13.16, +19.75)","(-1.38, +2.18)",2025-03-28
deepseek-v3,23.92,22.36,25.68,1007.0,912.9515670545787,897.7747750800532,929.3968840745424,"(-15.18, +16.45)","(-1.56, +1.76)",2025-03-28
qwen-2.5-72b-instruct,19.62,18.09,21.05,1097.0,868.9693152612817,851.6405123009698,884.3787122883817,"(-17.33, +15.41)","(-1.53, +1.43)",2025-03-28
wizardlm-2-8x22b,18.06,16.74,19.33,1028.0,851.2935678404713,835.2803154159001,865.843052172399,"(-16.01, +14.55)","(-1.32, +1.27)",2025-03-28
nova-pro-v1,18.04,16.99,19.81,905.0,851.1046744392679,838.3776790434964,871.153293739078,"(-12.73, +20.05)","(-1.05, +1.77)",2025-03-28
grok-2-1212,17.66,16.38,19.15,898.0,846.5563211795273,830.754705471405,863.8372353230981,"(-15.80, +17.28)","(-1.28, +1.49)",2025-03-28
gpt-4-1106-preview,16.71,15.47,18.58,840.0,834.9754788980092,818.9684219743101,857.2745252614567,"(-16.01, +22.30)","(-1.24, +1.87)",2025-03-28
mistral-large-2411,15.99,14.51,17.05,906.0,825.7864664491547,805.8401481361519,839.2065710082896,"(-19.95, +13.42)","(-1.48, +1.06)",2025-03-28
claude-3.5-haiku,15.89,14.14,16.99,601.0,824.4912119274466,800.6303121758466,838.4727865294279,"(-23.86, +13.98)","(-1.75, +1.10)",2025-03-28
claude-3.5-sonnet-20240620,15.42,13.95,16.65,628.0,818.2984550896648,797.9702599049443,834.2261725884903,"(-20.33, +15.93)","(-1.47, +1.23)",2025-03-28
command-r-plus-08-2024,14.28,12.47,15.62,969.0,802.653878153596,775.521806116593,820.9775980488696,"(-27.13, +18.32)","(-1.81, +1.34)",2025-03-28
gpt-4o-mini,14.24,13.08,15.63,830.0,802.1452147152997,784.9730815742664,821.0730571040742,"(-17.17, +18.93)","(-1.16, +1.39)",2025-03-28
