model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
gemini-2.5-pro-exp-03-25,83.45,81.51,84.53,2577.0,1395.0973032698512,1371.7381875598335,1409.0670417601,"(-23.36, +13.97)","(-1.94, +1.08)",2025-04-03
gemini-2.0-pro-exp-02-05,76.05,73.9,77.91,2372.0,1314.7019436914054,1294.79664576499,1332.943401219949,"(-19.91, +18.24)","(-2.15, +1.86)",2025-04-03
o1-high,65.04,62.96,67.29,1512.0,1221.869218966374,1206.167943366108,1239.3129875465333,"(-15.70, +17.44)","(-2.08, +2.25)",2025-04-03
gemini-2.0-flash-thinking-exp-01-21,64.47,61.99,66.68,2497.0,1217.47783049605,1198.9945617152077,1234.482170691316,"(-18.48, +17.00)","(-2.48, +2.21)",2025-04-03
o1-medium,60.94,59.27,63.17,1490.0,1191.2589809397089,1179.1796889513128,1207.7538213509629,"(-12.08, +16.49)","(-1.67, +2.23)",2025-04-03
o3-mini-high,59.88,58.02,61.91,1265.0,1183.6004357330355,1170.2343365653312,1198.3846993961322,"(-13.37, +14.78)","(-1.86, +2.03)",2025-04-03
o1-low,57.25,54.86,59.52,1513.0,1164.7402685980787,1147.87162145322,1180.9923526381394,"(-16.87, +16.25)","(-2.39, +2.27)",2025-04-03
chatgpt-4o-latest(2025-03-26),54.52,52.02,56.76,1111.0,1145.4885153696405,1128.0156719049392,1161.29608283534,"(-17.47, +15.81)","(-2.50, +2.24)",2025-04-03
deepseek-chat-v3-0324,53.17,51.05,55.49,1085.0,1136.0414260875723,1121.3191059194498,1152.323912712869,"(-14.72, +16.28)","(-2.12, +2.32)",2025-04-03
claude-3.7-sonnet(thinking),50.89,48.42,53.27,1248.0,1120.1746421798139,1102.9940763507639,1136.7416261186058,"(-17.18, +16.57)","(-2.47, +2.38)",2025-04-03
claude-3.7-sonnet,50.0,50.0,50.0,1094.0,1114.0,1114.0,1114.0,"(-0.00, +0.00)","(-0.00, +0.00)",2025-04-03
