model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
deepseek-chat-v3-0324,60.62,58.74,62.84,1085.0,1188.9621584107826,1175.382895441723,1205.2707363549375,"(-13.58, +16.31)","(-1.88, +2.22)",2025-04-03
claude-3.7-sonnet(thinking),56.32,54.16,58.89,1248.0,1158.1786414750004,1142.9444377368184,1176.4514160652104,"(-15.23, +18.27)","(-2.16, +2.57)",2025-04-03
deepseek-r1,51.42,49.25,54.84,1218.0,1123.8738803517037,1108.7961009719324,1147.7615671669132,"(-15.08, +23.89)","(-2.17, +3.42)",2025-04-03
claude-3.7-sonnet,50.0,50.0,50.0,1094.0,1114.0,1114.0,1114.0,"(-0.00, +0.00)","(-0.00, +0.00)",2025-04-03
gemini-2.5-pro-exp-03-25,49.63,46.55,53.53,2577.0,1111.4632886613517,1089.9952927300503,1138.5667262027885,"(-21.47, +27.10)","(-3.08, +3.90)",2025-04-03
gemini-2.0-pro-exp-02-05,49.06,46.62,52.47,2372.0,1107.4556084042129,1090.457512116714,1131.1732320072576,"(-17.00, +23.72)","(-2.44, +3.41)",2025-04-03
gpt-4.5-preview,47.94,44.95,50.09,1040.0,1099.7070555669939,1078.7861354539257,1114.6273663964207,"(-20.92, +14.92)","(-2.99, +2.15)",2025-04-03
o1-high,46.2,43.72,48.36,1512.0,1087.5620473519975,1070.1318588221661,1102.5824178262255,"(-17.43, +15.02)","(-2.48, +2.16)",2025-04-03
o3-mini-high,46.06,43.54,48.29,1265.0,1086.5430442108934,1068.8250133810727,1102.1204328541519,"(-17.72, +15.58)","(-2.52, +2.23)",2025-04-03
chatgpt-4o-latest(2025-03-26),44.83,42.37,47.48,1111.0,1077.9286487851505,1060.5992983148749,1096.484878023689,"(-17.33, +18.56)","(-2.46, +2.65)",2025-04-03
o1-medium,43.71,41.36,45.97,1490.0,1070.0602678082096,1053.3352142104065,1085.9706635143746,"(-16.73, +15.91)","(-2.35, +2.26)",2025-04-03
o1-low,37.62,35.0,39.74,1513.0,1026.1603696585644,1006.4466924537755,1041.6816491570044,"(-19.71, +15.52)","(-2.62, +2.12)",2025-04-03
o3-mini-medium,36.67,34.1,39.34,1221.0,1019.1142211526042,999.5571791445354,1038.757424018139,"(-19.56, +19.64)","(-2.57, +2.67)",2025-04-03
command-a,36.37,34.39,39.03,1083.0,1016.8238559924392,1001.7712784452457,1036.5204573871551,"(-15.05, +19.70)","(-1.98, +2.66)",2025-04-03
qwen-max,35.64,33.57,37.54,1420.0,1011.3496248055797,995.4473216288208,1025.576777525958,"(-15.90, +14.23)","(-2.07, +1.90)",2025-04-03
gpt-4o-2024-11-20,33.21,31.04,34.78,1142.0,992.6106658552596,975.3159084924225,1004.7422214227274,"(-17.29, +12.13)","(-2.17, +1.57)",2025-04-03
qwq-32b,32.23,30.28,34.56,1517.0,984.865701671737,969.1391687181977,1003.1229774921229,"(-15.73, +18.26)","(-1.95, +2.33)",2025-04-03
claude-3.5-sonnet,31.69,28.85,33.69,682.0,980.5851524068102,957.2149722212797,996.348113757289,"(-23.37, +15.76)","(-2.84, +2.00)",2025-04-03
o3-mini-low,30.79,28.29,33.11,1205.0,973.3138774637621,952.3887375483768,991.8066642519573,"(-20.93, +18.49)","(-2.50, +2.32)",2025-04-03
qwen-plus,29.71,27.89,31.86,1346.0,964.3848840947289,948.9754552116062,981.977451252349,"(-15.41, +17.59)","(-1.82, +2.15)",2025-04-03
gemini-2.0-flash-thinking-exp-01-21,27.92,26.0,30.43,2497.0,949.2407650460476,932.3039089205307,970.333088467459,"(-16.94, +21.09)","(-1.92, +2.51)",2025-04-03
deepseek-v3,25.07,23.36,27.06,1007.0,923.7675581955725,907.5891407689544,941.7872484512388,"(-16.18, +18.02)","(-1.71, +1.99)",2025-04-03
gemini-2.0-flash-001,22.46,20.91,24.89,1901.0,898.7260656199824,882.8493690612447,922.098819587674,"(-15.88, +23.37)","(-1.55, +2.43)",2025-04-03
claude-3.5-haiku,22.11,19.06,24.51,601.0,895.2260721919133,862.7793241527021,918.6170060553842,"(-32.45, +23.39)","(-3.05, +2.40)",2025-04-03
claude-3.5-sonnet-20240620,20.69,18.9,23.09,628.0,880.5889916308854,861.0128337512496,904.9536947084089,"(-19.58, +24.36)","(-1.79, +2.40)",2025-04-03
gemma-3-27b-it,19.64,18.04,21.14,1655.0,869.2854055228294,851.0600923756879,885.2890397288576,"(-18.23, +16.00)","(-1.60, +1.50)",2025-04-03
gemini-2.0-flash-lite-001,17.18,16.0,19.17,2196.0,840.7598259596482,825.90247782329,864.0479972212572,"(-14.86, +23.29)","(-1.18, +1.99)",2025-04-03
jamba-1.6-large,13.97,12.49,15.66,863.0,798.1491105297368,775.7711615479734,821.5081460457741,"(-22.38, +23.36)","(-1.48, +1.69)",2025-04-03
grok-2-1212,13.68,12.04,15.58,898.0,793.986151529871,768.510898558955,820.385103903971,"(-25.48, +26.40)","(-1.64, +1.90)",2025-04-03
nova-pro-v1,12.63,11.38,14.11,905.0,777.9380535414542,757.4941767805539,800.2059245105203,"(-20.44, +22.27)","(-1.25, +1.48)",2025-04-03
