model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
deepseek-chat-v3-0324,56.92,54.27,59.26,1085.0,1162.3772930694472,1143.7326683089427,1179.1237023729243,"(-18.64, +16.75)","(-2.65, +2.34)",2025-04-03
claude-3.7-sonnet(thinking),52.59,50.37,55.26,1248.0,1132.026819261359,1116.5792623673717,1150.6667210147255,"(-15.45, +18.64)","(-2.22, +2.67)",2025-04-03
gemini-2.5-pro-exp-03-25,51.68,49.13,54.33,2577.0,1125.673907911723,1107.9325581983146,1144.15924084524,"(-17.74, +18.49)","(-2.55, +2.65)",2025-04-03
gemini-2.0-pro-exp-02-05,51.39,48.27,55.05,2372.0,1123.6548749529065,1101.948341425325,1149.2170958315646,"(-21.71, +25.56)","(-3.12, +3.66)",2025-04-03
claude-3.7-sonnet,50.0,50.0,50.0,1094.0,1114.0,1114.0,1114.0,"(-0.00, +0.00)","(-0.00, +0.00)",2025-04-03
chatgpt-4o-latest(2025-03-26),49.68,47.03,52.32,1111.0,1111.7937661054793,1093.3291441709978,1130.165441827939,"(-18.46, +18.37)","(-2.65, +2.64)",2025-04-03
deepseek-r1,48.99,46.14,52.54,1218.0,1107.0024513962653,1087.118202473244,1131.6482871877538,"(-19.88, +24.65)","(-2.85, +3.55)",2025-04-03
o3-mini-high,47.88,45.25,50.11,1265.0,1099.2834358489067,1080.9240351364454,1114.7439946539632,"(-18.36, +15.46)","(-2.63, +2.23)",2025-04-03
o1-high,47.75,45.45,50.69,1512.0,1098.3534554570617,1082.3051620898093,1118.8167108718424,"(-16.05, +20.46)","(-2.30, +2.94)",2025-04-03
gpt-4.5-preview,45.67,43.6,48.08,1040.0,1083.8363211722976,1069.2892209175868,1100.6721236825608,"(-14.55, +16.84)","(-2.07, +2.41)",2025-04-03
o1-medium,45.62,43.13,48.28,1490.0,1083.4919730717093,1065.96354219103,1102.0219784951378,"(-17.53, +18.53)","(-2.49, +2.66)",2025-04-03
o1-low,40.05,37.48,42.82,1513.0,1043.8993137578627,1025.1044961118173,1063.7324862774585,"(-18.79, +19.83)","(-2.57, +2.77)",2025-04-03
