model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
gemini-2.5-pro-exp-03-25,85.71,84.81,86.6,2577.0,1311.2607894158236,1295.3083530635502,1336.8012712298532,"(-15.95, +25.54)","(-0.90, +0.89)",2025-04-03
gemini-2.0-pro-exp-02-05,77.88,76.77,78.63,2372.0,1218.7030011511251,1204.2854762617253,1238.9255722824648,"(-14.42, +20.22)","(-1.11, +0.75)",2025-04-03
gemini-2.0-flash-thinking-exp-01-21,68.44,67.71,69.9,2497.0,1134.4616455077148,1125.1979623577429,1158.9677831009099,"(-9.26, +24.51)","(-0.73, +1.46)",2025-04-03
deepseek-chat-v3-0324,65.62,64.18,66.83,1085.0,1112.3008082390547,1097.8812659597108,1134.2541959070693,"(-14.42, +21.95)","(-1.44, +1.21)",2025-04-03
claude-3.7-sonnet(thinking),59.99,58.73,61.49,1248.0,1070.3338762466915,1057.8824996693772,1093.825006492388,"(-12.45, +23.49)","(-1.26, +1.50)",2025-04-03
o1-high,57.92,56.07,59.49,1512.0,1055.5284255136116,1038.9998869479414,1079.3411589773523,"(-16.53, +23.81)","(-1.85, +1.57)",2025-04-03
deepseek-r1,56.62,55.47,57.87,1218.0,1046.2615252871246,1034.7299208073055,1067.6835322870575,"(-11.53, +21.42)","(-1.15, +1.25)",2025-04-03
qwen-max,56.46,55.81,57.96,1420.0,1045.1483032711162,1037.1119091669366,1068.373711813087,"(-8.04, +23.23)","(-0.65, +1.50)",2025-04-03
o3-mini-high,53.73,52.91,55.47,1265.0,1025.9438609951817,1016.8163158089161,1050.6904626168482,"(-9.13, +24.75)","(-0.82, +1.74)",2025-04-03
o1-medium,53.69,52.05,55.27,1490.0,1025.7048057086663,1010.871587699551,1049.2956950766131,"(-14.83, +23.59)","(-1.64, +1.58)",2025-04-03
gemini-2.0-flash-001,52.93,52.06,54.01,1901.0,1020.3808682129437,1010.9068296396401,1040.457147859579,"(-9.47, +20.08)","(-0.87, +1.08)",2025-04-03
o1-low,50.4,49.43,52.08,1513.0,1002.7506872641397,992.6410588104062,1026.994801901631,"(-10.11, +24.24)","(-0.97, +1.68)",2025-04-03
claude-3.7-sonnet,50.0,50.0,50.0,1094.0,1000.0,996.5892248537149,1012.5624001832572,"(-3.41, +12.56)","(-0.00, +0.00)",2025-04-03
