model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
gemini-2.5-pro-exp-03-25,85.71,84.96,86.6,2577.0,1311.2605896582186,1295.6550196779149,1337.0150964097168,"(-15.61, +25.75)","(-0.75, +0.89)",2025-04-20
o3-low,85.31,84.19,86.61,1306.0,1305.658775875331,1285.3269221031244,1337.2577881315517,"(-20.33, +31.60)","(-1.12, +1.30)",2025-04-20
gemini-2.0-pro-exp-02-05,77.88,76.9,78.69,2372.0,1218.702860749125,1203.8082711929942,1239.803970878891,"(-14.89, +21.10)","(-0.98, +0.81)",2025-04-20
gemini-2.5-flash-preview(thinking),76.37,74.83,77.76,2521.0,1203.802372584541,1184.1371309598878,1230.376924038509,"(-19.67, +26.57)","(-1.54, +1.39)",2025-04-20
o4-mini-high,74.54,73.88,75.84,1084.0,1186.6521949377222,1175.4780260794632,1211.5817728672187,"(-11.17, +24.93)","(-0.66, +1.30)",2025-04-20
o4-mini-medium,72.8,71.59,74.34,1053.0,1171.0442531729432,1155.381578867524,1197.6871155358033,"(-15.66, +26.64)","(-1.21, +1.54)",2025-04-20
grok-3-beta,70.81,69.56,71.54,1824.0,1153.922781163714,1138.424009967256,1172.989528589364,"(-15.50, +19.07)","(-1.25, +0.73)",2025-04-20
o4-mini-low,68.99,67.54,70.83,1020.0,1138.9454437371678,1122.1422590715708,1167.0213986956674,"(-16.80, +28.08)","(-1.45, +1.84)",2025-04-20
gemini-2.0-flash-thinking-exp-01-21,68.44,67.83,69.88,2497.0,1134.461596444802,1124.4268087536784,1159.1032949422447,"(-10.03, +24.64)","(-0.61, +1.44)",2025-04-20
deepseek-chat-v3-0324,65.62,64.83,67.45,1085.0,1112.300757909029,1101.1068532988572,1139.48669016026,"(-11.19, +27.19)","(-0.79, +1.83)",2025-04-20
grok-3-mini-beta,63.91,63.15,65.26,2010.0,1099.271082237213,1088.4023759079453,1122.3888265243834,"(-10.87, +23.12)","(-0.76, +1.35)",2025-04-20
gemini-2.5-flash-preview,61.49,60.41,63.13,2299.0,1081.266613505158,1068.2720528844477,1106.334069189296,"(-12.99, +25.07)","(-1.08, +1.64)",2025-04-20
claude-3.7-sonnet(thinking),59.99,58.39,61.35,1248.0,1070.333970609178,1053.7372671314104,1093.1900297595193,"(-16.60, +22.86)","(-1.60, +1.36)",2025-04-20
