model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
o3-low,85.99,84.28,87.39,1306.0,1429.1502559233645,1405.6696481639271,1450.327910778736,"(-23.48, +21.18)","(-1.71, +1.40)",2025-04-20
o4-mini-high,78.91,76.86,81.19,1084.0,1343.206547619619,1322.5761041574472,1368.0479720301253,"(-20.63, +24.84)","(-2.05, +2.28)",2025-04-20
o4-mini-medium,76.88,74.67,78.72,1053.0,1322.7241535490411,1301.8299682110592,1341.2602810105166,"(-20.89, +18.54)","(-2.21, +1.84)",2025-04-20
o4-mini-low,72.98,70.61,74.87,1020.0,1286.6080238269456,1266.2775347688328,1303.6379254378123,"(-20.33, +17.03)","(-2.37, +1.89)",2025-04-20
deepseek-chat-v3-0324,62.32,60.48,64.89,1085.0,1201.3859453841915,1187.9288799478375,1220.7062408296492,"(-13.46, +19.32)","(-1.84, +2.57)",2025-04-20
gpt-4.1-2025-04-14,60.79,58.13,62.74,949.0,1190.1679058438685,1171.0235441663556,1204.503528553936,"(-19.14, +14.34)","(-2.66, +1.95)",2025-04-20
claude-3.7-sonnet(thinking),57.92,55.45,60.47,1248.0,1169.5230429397884,1152.0248352415695,1187.8670503405858,"(-17.50, +18.34)","(-2.47, +2.55)",2025-04-20
quasar-alpha,56.35,53.63,58.85,909.0,1158.3610489262173,1139.2368871768585,1176.1280359717116,"(-19.12, +17.77)","(-2.72, +2.50)",2025-04-20
deepseek-r1,53.4,50.44,56.08,1218.0,1137.6588186246336,1117.0480943191467,1156.4785927233272,"(-20.61, +18.82)","(-2.96, +2.68)",2025-04-20
gemini-2.5-pro-exp-03-25,50.67,47.41,54.59,2577.0,1118.6835959218367,1095.962894942088,1145.9779159525378,"(-22.72, +27.29)","(-3.26, +3.92)",2025-04-20
gemini-2.0-pro-exp-02-05,50.21,47.26,53.87,2372.0,1115.42698407332,1094.9710018693966,1140.9424729540403,"(-20.46, +25.52)","(-2.95, +3.66)",2025-04-20
claude-3.7-sonnet,50.0,50.0,50.0,1094.0,1114.0,1114.0,1114.0,"(-0.00, +0.00)","(-0.00, +0.00)",2025-04-20
gpt-4.5-preview,49.43,46.97,51.76,1040.0,1110.0735071077384,1092.8899925914423,1126.241990252727,"(-17.18, +16.17)","(-2.46, +2.33)",2025-04-20
gpt-4.1-mini-2025-04-14,48.01,45.65,50.66,1080.0,1100.195788471116,1083.7094975290784,1118.5858859804118,"(-16.49, +18.39)","(-2.36, +2.65)",2025-04-20
o3-mini-high,47.61,44.98,50.83,1265.0,1097.4050242299036,1078.9768232725362,1119.7667648189777,"(-18.43, +22.36)","(-2.63, +3.22)",2025-04-20
o1-high,47.6,44.9,50.23,1512.0,1097.299097092432,1078.4386815423568,1115.6059123395912,"(-18.86, +18.31)","(-2.70, +2.63)",2025-04-20
chatgpt-4o-latest(2025-03-26),46.32,43.95,48.81,1111.0,1088.3998873496607,1071.7305083208328,1105.7593606884652,"(-16.67, +17.36)","(-2.37, +2.49)",2025-04-20
o1-medium,45.11,42.75,47.69,1490.0,1079.9010356151446,1063.297985757748,1097.9339544263273,"(-16.60, +18.03)","(-2.36, +2.58)",2025-04-20
grok-3-beta,41.91,39.72,44.28,1824.0,1057.265036448013,1041.5413734620397,1074.0437761491653,"(-15.72, +16.78)","(-2.19, +2.37)",2025-04-20
o1-low,38.89,36.28,41.78,1513.0,1035.5049820110046,1016.1474773864918,1056.3315142350716,"(-19.36, +20.83)","(-2.61, +2.89)",2025-04-20
o3-mini-medium,37.94,35.59,39.77,1221.0,1028.481365992078,1010.9647786077272,1041.8884623081763,"(-17.52, +13.41)","(-2.35, +1.83)",2025-04-20
command-a,37.87,35.47,39.92,1083.0,1027.9704433670095,1010.0594007396012,1042.9556549504794,"(-17.91, +14.99)","(-2.40, +2.05)",2025-04-20
gemini-2.5-flash-preview(thinking),37.46,35.38,40.39,2521.0,1024.9928449902027,1009.3715297393217,1046.3642173055277,"(-15.62, +21.37)","(-2.08, +2.93)",2025-04-20
