model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
o3-low,89.95,88.7,90.95,1306.0,1494.7002842301504,1471.9114234167876,1514.8938470806172,"(-22.79, +20.19)","(-1.25, +1.00)",2025-04-20
gemini-2.5-pro-exp-03-25,83.13,81.51,85.06,2577.0,1391.095138633562,1371.7555954590996,1416.1152469870235,"(-19.34, +25.02)","(-1.62, +1.93)",2025-04-20
o4-mini-high,81.53,79.77,83.14,1084.0,1371.9038170033505,1352.3302995142021,1391.128640877164,"(-19.57, +19.22)","(-1.76, +1.61)",2025-04-20
o4-mini-medium,80.15,78.62,81.76,1053.0,1356.5062545263065,1340.2465271887263,1374.5863919857368,"(-16.26, +18.08)","(-1.53, +1.61)",2025-04-20
o4-mini-low,76.84,74.97,78.59,1020.0,1322.3239153350673,1304.5332968483428,1339.8846896239263,"(-17.79, +17.56)","(-1.87, +1.75)",2025-04-20
gemini-2.0-pro-exp-02-05,75.85,74.0,77.39,2372.0,1312.815411936981,1295.670291148937,1327.7929546683768,"(-17.15, +14.98)","(-1.85, +1.54)",2025-04-20
gemini-2.5-flash-preview(thinking),73.65,71.55,75.54,2521.0,1292.5135307935032,1274.231687533758,1309.8523349435195,"(-18.28, +17.34)","(-2.10, +1.89)",2025-04-20
o1-high,65.54,63.25,67.8,1512.0,1225.6886157453428,1208.3366719268913,1243.3382225168334,"(-17.35, +17.65)","(-2.29, +2.26)",2025-04-20
gemini-2.0-flash-thinking-exp-01-21,63.96,62.07,66.81,2497.0,1213.6817225665732,1199.5564668227323,1235.499042549522,"(-14.13, +21.82)","(-1.89, +2.85)",2025-04-20
o1-medium,61.42,59.48,63.73,1490.0,1194.7594304437914,1180.7010909962178,1211.9419692196998,"(-14.06, +17.18)","(-1.94, +2.31)",2025-04-20
o3-mini-high,60.41,58.13,63.15,1265.0,1187.3944171967933,1171.0228247064197,1207.558775526946,"(-16.37, +20.16)","(-2.28, +2.74)",2025-04-20
o1-low,57.75,55.21,60.1,1513.0,1168.2944388411952,1150.3081698234498,1185.1351461705983,"(-17.99, +16.84)","(-2.54, +2.35)",2025-04-20
gemini-2.5-flash-preview,56.26,53.41,58.52,2299.0,1157.7450072463319,1137.7182027014073,1173.7664432305253,"(-20.03, +16.02)","(-2.85, +2.26)",2025-04-20
grok-3-beta,55.98,53.83,58.27,1824.0,1155.7445735239478,1140.6623551285045,1172.0342164871117,"(-15.08, +16.29)","(-2.15, +2.29)",2025-04-20
chatgpt-4o-latest(2025-03-26),54.7,52.27,57.39,1111.0,1146.7700469198871,1129.7843978366584,1165.71844208911,"(-16.99, +18.95)","(-2.43, +2.69)",2025-04-20
deepseek-chat-v3-0324,53.87,51.75,56.31,1085.0,1140.9255843185833,1126.1491392563803,1158.0533969518901,"(-14.78, +17.13)","(-2.12, +2.44)",2025-04-20
claude-3.7-sonnet(thinking),51.86,49.65,54.52,1248.0,1126.9124275477675,1111.5458305980387,1145.462238838787,"(-15.37, +18.55)","(-2.21, +2.66)",2025-04-20
o3-mini-medium,50.45,47.71,53.43,1221.0,1117.1173038545003,1098.0922616679009,1137.8666627149041,"(-19.03, +20.75)","(-2.74, +2.98)",2025-04-20
claude-3.7-sonnet,50.0,50.0,50.0,1094.0,1114.0,1114.0,1114.0,"(-0.00, +0.00)","(-0.00, +0.00)",2025-04-20
gemini-2.0-flash-001,48.61,46.26,50.9,1901.0,1104.3252629179956,1087.9366905836637,1120.2700301156449,"(-16.39, +15.94)","(-2.35, +2.29)",2025-04-20
grok-3-mini-beta,48.39,45.09,50.63,2010.0,1102.81501571004,1079.7877860282206,1118.370721484264,"(-23.03, +15.56)","(-3.30, +2.24)",2025-04-20
