model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3.7-sonnet,50.0,50.0,50.0,"(-0.00, +0.00)",1094.0,2025-03-19
o1-high,40.39,38.14,42.69,"(-2.25, +2.30)",1503.0,2025-03-19
o3-mini-high,39.34,37.21,41.34,"(-2.13, +2.00)",1257.0,2025-03-19
o1-medium,38.56,36.22,40.89,"(-2.34, +2.33)",1487.0,2025-03-19
gpt-4.5-preview,37.58,35.11,39.81,"(-2.47, +2.23)",1040.0,2025-03-19
o1-low,34.83,32.75,37.09,"(-2.08, +2.26)",1513.0,2025-03-19
claude-3.5-sonnet,34.0,31.82,36.75,"(-2.18, +2.75)",682.0,2025-03-19
o3-mini-medium,32.77,30.76,34.89,"(-2.01, +2.12)",1221.0,2025-03-19
command-a,31.68,29.68,33.8,"(-2.00, +2.12)",1083.0,2025-03-19
o3-mini-low,30.0,28.12,32.06,"(-1.88, +2.06)",1205.0,2025-03-19
gpt-4o-2024-11-20,26.88,25.0,28.7,"(-1.88, +1.82)",1216.0,2025-03-19
claude-3.5-haiku,25.94,23.67,28.76,"(-2.27, +2.82)",601.0,2025-03-19
gemini-2.0-flash-001,25.63,23.81,27.58,"(-1.82, +1.95)",1901.0,2025-03-19
gemma-3-27b-it,24.52,22.78,26.39,"(-1.74, +1.87)",1654.0,2025-03-19
gemini-2.0-flash-lite-001,23.09,21.34,25.23,"(-1.75, +2.14)",2196.0,2025-03-19
deepseek-v3,21.53,19.74,23.15,"(-1.79, +1.62)",1007.0,2025-03-19
claude-3.5-sonnet-20240620,21.12,19.07,23.55,"(-2.05, +2.43)",628.0,2025-03-19
jamba-1.6-large,15.73,14.28,17.33,"(-1.45, +1.60)",859.0,2025-03-19
grok-2-1212,15.68,14.0,17.23,"(-1.68, +1.55)",898.0,2025-03-19
minimax-01,15.06,13.3,17.21,"(-1.76, +2.15)",370.0,2025-03-19
nova-pro-v1,14.81,13.29,16.22,"(-1.52, +1.41)",905.0,2025-03-19
qwen-2.5-72b-instruct,14.55,13.28,15.96,"(-1.27, +1.41)",1097.0,2025-03-19
gpt-4o-mini,14.1,12.56,15.42,"(-1.54, +1.32)",890.0,2025-03-19
mistral-large-2411,13.4,12.03,14.86,"(-1.37, +1.46)",906.0,2025-03-19
gpt-4-1106-preview,11.99,10.6,13.27,"(-1.39, +1.28)",846.0,2025-03-19
gemma-2-27b-it,11.71,10.44,13.13,"(-1.27, +1.42)",794.0,2025-03-19
mistral-small-3.1-24b-instruct-2503,9.85,8.66,10.88,"(-1.19, +1.03)",961.0,2025-03-19
command-r-plus-08-2024,9.4,8.15,10.48,"(-1.25, +1.08)",969.0,2025-03-19
nova-lite-v1,8.91,7.76,9.9,"(-1.15, +0.99)",994.0,2025-03-19
wizardlm-2-8x22b,8.9,7.69,9.83,"(-1.21, +0.93)",1028.0,2025-03-19
lfm-7b,8.47,7.52,9.35,"(-0.95, +0.88)",1011.0,2025-03-19
qwen2.5-32b-instruct,8.15,6.92,9.37,"(-1.23, +1.22)",795.0,2025-03-19
mistral-small-24b-instruct-2501,7.73,6.67,8.97,"(-1.06, +1.24)",998.0,2025-03-19
hermes-3-llama-3.1-405b,7.54,6.4,8.68,"(-1.14, +1.14)",771.0,2025-03-19
hermes-3-llama-3.1-70b,7.08,6.14,8.13,"(-0.94, +1.05)",771.0,2025-03-19
gemma-2-9b-it,6.87,5.83,7.97,"(-1.04, +1.10)",751.0,2025-03-19
command-r-08-2024,6.07,4.99,7.05,"(-1.08, +0.98)",796.0,2025-03-19
nova-micro-v1,5.93,5.13,6.81,"(-0.80, +0.88)",927.0,2025-03-19
lfm-40b,5.31,4.52,6.07,"(-0.79, +0.76)",863.0,2025-03-19
llama-3.3-70b-instruct,4.88,4.01,5.81,"(-0.87, +0.93)",809.0,2025-03-19
command-r7b-12-2024,4.55,3.77,5.36,"(-0.78, +0.81)",882.0,2025-03-19
lfm-3b,3.18,2.64,3.79,"(-0.54, +0.61)",776.0,2025-03-19
qwen-2.5-7b-instruct,3.16,2.45,4.13,"(-0.71, +0.97)",844.0,2025-03-19
olmo-2-0325-32b-instruct,2.99,2.49,3.65,"(-0.50, +0.66)",890.0,2025-03-19
jamba-1.6-mini,2.19,1.77,2.76,"(-0.42, +0.57)",920.0,2025-03-19
llama-3.1-nemotron-70b-instruct,2.1,1.74,2.5,"(-0.36, +0.40)",1854.0,2025-03-19
llama-3.1-405b-instruct,0.82,0.62,1.03,"(-0.20, +0.21)",1735.0,2025-03-19
llama-3.1-70b-instruct,0.51,0.37,0.64,"(-0.14, +0.13)",1923.0,2025-03-19
llama-3.1-8b-instruct,0.07,0.05,0.09,"(-0.02, +0.02)",5081.0,2025-03-19
