model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3.7-sonnet,50.0,50.0,50.0,"(-0.00, +0.00)",1094.0,2025-03-25
deepseek-chat-v3-0324,46.48,44.16,48.74,"(-2.32, +2.26)",1085.0,2025-03-25
o1-high,40.68,38.48,42.95,"(-2.20, +2.27)",1503.0,2025-03-25
o3-mini-high,39.69,37.52,41.93,"(-2.17, +2.24)",1257.0,2025-03-25
o1-medium,38.86,36.48,41.27,"(-2.38, +2.41)",1487.0,2025-03-25
gpt-4.5-preview,37.96,35.58,40.16,"(-2.38, +2.20)",1040.0,2025-03-25
o1-low,35.13,32.94,37.43,"(-2.19, +2.30)",1513.0,2025-03-25
claude-3.5-sonnet,34.75,32.3,37.46,"(-2.45, +2.71)",682.0,2025-03-25
o3-mini-medium,33.08,30.9,35.22,"(-2.18, +2.14)",1221.0,2025-03-25
command-a,31.79,29.79,33.92,"(-2.00, +2.13)",1083.0,2025-03-25
o3-mini-low,30.3,28.33,32.32,"(-1.97, +2.02)",1205.0,2025-03-25
gpt-4o-2024-11-20,26.97,25.2,28.72,"(-1.77, +1.75)",1216.0,2025-03-25
claude-3.5-haiku,26.72,24.1,29.27,"(-2.62, +2.55)",601.0,2025-03-25
gemini-2.0-flash-001,25.5,23.48,27.42,"(-2.02, +1.92)",1901.0,2025-03-25
gemma-3-27b-it,24.41,22.67,26.24,"(-1.74, +1.83)",1654.0,2025-03-25
gemini-2.0-flash-lite-001,22.94,21.19,24.86,"(-1.75, +1.92)",2196.0,2025-03-25
claude-3.5-sonnet-20240620,21.8,19.39,23.9,"(-2.41, +2.10)",628.0,2025-03-25
deepseek-v3,21.62,19.83,23.37,"(-1.79, +1.75)",1007.0,2025-03-25
jamba-1.6-large,15.8,14.38,17.35,"(-1.42, +1.55)",859.0,2025-03-25
grok-2-1212,15.67,14.06,17.32,"(-1.61, +1.65)",898.0,2025-03-25
minimax-01,15.18,13.09,17.41,"(-2.09, +2.23)",370.0,2025-03-25
nova-pro-v1,14.87,13.35,16.39,"(-1.52, +1.52)",905.0,2025-03-25
qwen-2.5-72b-instruct,14.68,13.4,16.03,"(-1.28, +1.35)",1097.0,2025-03-25
gpt-4o-mini,14.09,12.68,15.64,"(-1.41, +1.55)",890.0,2025-03-25
mistral-large-2411,13.37,12.08,14.83,"(-1.29, +1.46)",906.0,2025-03-25
gpt-4-1106-preview,11.94,10.53,13.3,"(-1.41, +1.36)",846.0,2025-03-25
gemma-2-27b-it,11.75,10.35,13.05,"(-1.40, +1.30)",794.0,2025-03-25
mistral-small-3.1-24b-instruct-2503,9.79,8.68,11.09,"(-1.11, +1.30)",961.0,2025-03-25
command-r-plus-08-2024,9.38,8.22,10.53,"(-1.16, +1.15)",969.0,2025-03-25
nova-lite-v1,8.84,7.85,9.88,"(-0.99, +1.04)",994.0,2025-03-25
wizardlm-2-8x22b,8.79,7.79,9.88,"(-1.00, +1.09)",1028.0,2025-03-25
lfm-7b,8.4,7.49,9.4,"(-0.91, +1.00)",1011.0,2025-03-25
qwen2.5-32b-instruct,8.19,7.06,9.35,"(-1.13, +1.16)",795.0,2025-03-25
mistral-small-24b-instruct-2501,7.81,6.69,8.96,"(-1.12, +1.15)",998.0,2025-03-25
hermes-3-llama-3.1-405b,7.6,6.57,8.81,"(-1.03, +1.21)",771.0,2025-03-25
hermes-3-llama-3.1-70b,7.13,6.09,8.27,"(-1.04, +1.14)",771.0,2025-03-25
gemma-2-9b-it,6.9,5.94,8.05,"(-0.96, +1.15)",751.0,2025-03-25
command-r-08-2024,6.08,5.04,7.16,"(-1.04, +1.08)",796.0,2025-03-25
nova-micro-v1,6.0,5.18,6.84,"(-0.82, +0.84)",927.0,2025-03-25
lfm-40b,5.31,4.49,6.19,"(-0.82, +0.88)",863.0,2025-03-25
llama-3.3-70b-instruct,4.93,3.94,5.89,"(-0.99, +0.96)",809.0,2025-03-25
command-r7b-12-2024,4.56,3.79,5.38,"(-0.77, +0.82)",882.0,2025-03-25
qwen-2.5-7b-instruct,3.23,2.52,4.13,"(-0.71, +0.90)",844.0,2025-03-25
lfm-3b,3.22,2.66,3.78,"(-0.56, +0.56)",776.0,2025-03-25
olmo-2-0325-32b-instruct,3.02,2.49,3.59,"(-0.53, +0.57)",890.0,2025-03-25
jamba-1.6-mini,2.26,1.8,2.79,"(-0.46, +0.53)",920.0,2025-03-25
llama-3.1-nemotron-70b-instruct,2.06,1.7,2.43,"(-0.36, +0.37)",1854.0,2025-03-25
llama-3.1-405b-instruct,0.81,0.61,1.05,"(-0.20, +0.24)",1735.0,2025-03-25
llama-3.1-70b-instruct,0.49,0.37,0.63,"(-0.12, +0.14)",1923.0,2025-03-25
llama-3.1-8b-instruct,0.07,0.05,0.09,"(-0.02, +0.02)",5081.0,2025-03-25
