model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3.7-sonnet,50.0,50.0,50.0,"(-0.00, +0.00)",1094.0,2025-03-17
o3-mini-high,39.38,37.25,41.73,"(-2.13, +2.35)",1257.0,2025-03-17
o1-medium,38.65,36.5,41.11,"(-2.15, +2.46)",1487.0,2025-03-17
gpt-4.5-preview,37.05,34.71,39.45,"(-2.34, +2.40)",1040.0,2025-03-17
o1-low,34.95,32.75,37.16,"(-2.20, +2.21)",1513.0,2025-03-17
claude-3.5-sonnet,34.12,31.67,36.76,"(-2.45, +2.64)",682.0,2025-03-17
o3-mini-medium,32.8,30.71,34.85,"(-2.09, +2.05)",1221.0,2025-03-17
command-a,31.17,29.26,33.3,"(-1.91, +2.13)",1083.0,2025-03-17
o3-mini-low,30.02,28.22,32.24,"(-1.80, +2.22)",1205.0,2025-03-17
gpt-4o-2024-11-20,26.27,24.44,28.19,"(-1.83, +1.92)",1216.0,2025-03-17
claude-3.5-haiku,26.07,23.53,28.54,"(-2.54, +2.47)",601.0,2025-03-17
gemini-2.0-flash-001,25.59,23.7,27.55,"(-1.89, +1.96)",1901.0,2025-03-17
gemma-3-27b-it,24.43,22.66,26.23,"(-1.77, +1.80)",1654.0,2025-03-17
gemini-2.0-flash-lite-001,23.07,21.26,25.09,"(-1.81, +2.02)",2196.0,2025-03-17
claude-3.5-sonnet-20240620,21.32,19.02,23.45,"(-2.30, +2.13)",628.0,2025-03-17
deepseek-v3,21.04,19.4,22.67,"(-1.64, +1.63)",1007.0,2025-03-17
grok-2-1212,15.39,13.78,17.01,"(-1.61, +1.62)",898.0,2025-03-17
jamba-1.6-large,15.32,13.99,16.85,"(-1.33, +1.53)",859.0,2025-03-17
minimax-01,14.83,13.05,16.89,"(-1.78, +2.06)",370.0,2025-03-17
nova-pro-v1,14.58,13.17,16.02,"(-1.41, +1.44)",905.0,2025-03-17
qwen-2.5-72b-instruct,14.44,13.04,15.89,"(-1.40, +1.45)",1097.0,2025-03-17
gpt-4o-mini,13.78,12.39,15.23,"(-1.39, +1.45)",890.0,2025-03-17
mistral-large-2411,13.15,11.9,14.65,"(-1.25, +1.50)",906.0,2025-03-17
gpt-4-1106-preview,11.84,10.6,13.25,"(-1.24, +1.41)",846.0,2025-03-17
gemma-2-27b-it,11.57,10.29,12.92,"(-1.28, +1.35)",794.0,2025-03-17
command-r-plus-08-2024,9.33,8.16,10.48,"(-1.17, +1.15)",969.0,2025-03-17
wizardlm-2-8x22b,8.79,7.83,9.88,"(-0.96, +1.09)",1028.0,2025-03-17
nova-lite-v1,8.7,7.69,9.71,"(-1.01, +1.01)",994.0,2025-03-17
lfm-7b,8.28,7.41,9.23,"(-0.87, +0.95)",1011.0,2025-03-17
qwen2.5-32b-instruct,8.1,6.97,9.24,"(-1.13, +1.14)",795.0,2025-03-17
mistral-small-24b-instruct-2501,7.7,6.6,8.83,"(-1.10, +1.13)",998.0,2025-03-17
hermes-3-llama-3.1-405b,7.48,6.34,8.62,"(-1.14, +1.14)",771.0,2025-03-17
hermes-3-llama-3.1-70b,7.03,6.12,8.17,"(-0.91, +1.14)",771.0,2025-03-17
gemma-2-9b-it,6.78,5.71,7.8,"(-1.07, +1.02)",751.0,2025-03-17
command-r-08-2024,6.04,5.04,7.06,"(-1.00, +1.02)",796.0,2025-03-17
nova-micro-v1,5.91,5.09,6.77,"(-0.82, +0.86)",927.0,2025-03-17
lfm-40b,5.28,4.53,6.08,"(-0.75, +0.80)",863.0,2025-03-17
llama-3.3-70b-instruct,4.9,4.03,5.8,"(-0.87, +0.90)",809.0,2025-03-17
command-r7b-12-2024,4.52,3.76,5.32,"(-0.76, +0.80)",882.0,2025-03-17
qwen-2.5-7b-instruct,3.23,2.48,4.0,"(-0.75, +0.77)",844.0,2025-03-17
lfm-3b,3.16,2.62,3.71,"(-0.54, +0.55)",776.0,2025-03-17
olmo-2-0325-32b-instruct,3.02,2.46,3.62,"(-0.56, +0.60)",890.0,2025-03-17
jamba-1.6-mini,2.23,1.75,2.7,"(-0.48, +0.47)",920.0,2025-03-17
llama-3.1-nemotron-70b-instruct,2.07,1.74,2.48,"(-0.33, +0.41)",1854.0,2025-03-17
llama-3.1-405b-instruct,0.83,0.64,1.06,"(-0.19, +0.23)",1735.0,2025-03-17
llama-3.1-70b-instruct,0.5,0.38,0.66,"(-0.12, +0.16)",1923.0,2025-03-17
llama-3.1-8b-instruct,0.07,0.05,0.1,"(-0.02, +0.03)",5081.0,2025-03-17
