model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3.7-sonnet,50.0,50.0,50.0,"(-0.00, +0.00)",1094.0,2025-03-13
o3-mini-high,38.89,36.61,41.14,"(-2.28, +2.25)",1257.0,2025-03-13
o1-medium,38.29,36.06,40.49,"(-2.23, +2.20)",1487.0,2025-03-13
gpt-4.5-preview,35.87,33.61,38.09,"(-2.26, +2.22)",1040.0,2025-03-13
claude-3.5-sonnet,32.81,30.33,35.33,"(-2.48, +2.52)",682.0,2025-03-13
o3-mini-medium,32.36,30.26,34.34,"(-2.10, +1.98)",1221.0,2025-03-13
o3-mini-low,29.59,27.78,31.58,"(-1.81, +1.99)",1205.0,2025-03-13
gpt-4o-2024-11-20,25.08,23.38,27.02,"(-1.70, +1.94)",1216.0,2025-03-13
gemini-2.0-flash-001,24.97,22.91,26.81,"(-2.06, +1.84)",1901.0,2025-03-13
claude-3.5-haiku,24.79,22.26,27.26,"(-2.53, +2.47)",601.0,2025-03-13
gemini-2.0-flash-lite-001,22.52,20.59,24.39,"(-1.93, +1.87)",2196.0,2025-03-13
claude-3.5-sonnet-20240620,20.37,18.25,22.49,"(-2.12, +2.12)",628.0,2025-03-13
deepseek-v3,20.07,18.34,21.88,"(-1.73, +1.81)",1007.0,2025-03-13
grok-2-1212,14.81,13.44,16.44,"(-1.37, +1.63)",898.0,2025-03-13
minimax-01,14.15,12.4,16.25,"(-1.75, +2.10)",370.0,2025-03-13
nova-pro-v1,14.01,12.59,15.51,"(-1.42, +1.50)",905.0,2025-03-13
qwen-2.5-72b-instruct,13.84,12.51,15.06,"(-1.33, +1.22)",1097.0,2025-03-13
gpt-4o-mini,13.15,11.71,14.45,"(-1.44, +1.30)",890.0,2025-03-13
mistral-large-2411,12.65,11.44,13.98,"(-1.21, +1.33)",906.0,2025-03-13
gpt-4-1106-preview,11.61,10.26,12.99,"(-1.35, +1.38)",846.0,2025-03-13
gemma-2-27b-it,10.94,9.63,12.32,"(-1.31, +1.38)",794.0,2025-03-13
command-r-plus-08-2024,9.15,8.11,10.22,"(-1.04, +1.07)",969.0,2025-03-13
wizardlm-2-8x22b,8.67,7.63,9.72,"(-1.04, +1.05)",1028.0,2025-03-13
nova-lite-v1,8.4,7.42,9.44,"(-0.98, +1.04)",994.0,2025-03-13
lfm-7b,7.99,7.14,8.92,"(-0.85, +0.93)",1011.0,2025-03-13
qwen2.5-32b-instruct,7.89,6.74,9.09,"(-1.15, +1.20)",795.0,2025-03-13
mistral-small-24b-instruct-2501,7.43,6.41,8.43,"(-1.02, +1.00)",998.0,2025-03-13
hermes-3-llama-3.1-405b,7.24,6.21,8.37,"(-1.03, +1.13)",771.0,2025-03-13
hermes-3-llama-3.1-70b,6.84,5.84,7.89,"(-1.00, +1.05)",771.0,2025-03-13
gemma-2-9b-it,6.39,5.49,7.39,"(-0.90, +1.00)",751.0,2025-03-13
command-r-08-2024,5.93,4.94,6.84,"(-0.99, +0.91)",796.0,2025-03-13
nova-micro-v1,5.72,4.94,6.53,"(-0.78, +0.81)",927.0,2025-03-13
lfm-40b,5.18,4.45,5.94,"(-0.73, +0.76)",863.0,2025-03-13
llama-3.3-70b-instruct,4.78,3.81,5.63,"(-0.97, +0.85)",809.0,2025-03-13
command-r7b-12-2024,4.39,3.63,5.12,"(-0.76, +0.73)",882.0,2025-03-13
qwen-2.5-7b-instruct,3.15,2.4,3.9,"(-0.75, +0.75)",844.0,2025-03-13
lfm-3b,3.03,2.48,3.55,"(-0.55, +0.52)",776.0,2025-03-13
llama-3.1-nemotron-70b-instruct,2.03,1.69,2.46,"(-0.34, +0.43)",1854.0,2025-03-13
llama-3.1-405b-instruct,0.88,0.67,1.13,"(-0.21, +0.25)",1735.0,2025-03-13
llama-3.1-70b-instruct,0.54,0.41,0.69,"(-0.13, +0.15)",1923.0,2025-03-13
llama-3.1-8b-instruct,0.08,0.06,0.1,"(-0.02, +0.02)",5081.0,2025-03-13
