model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
deepseek-chat-v3-0324,56.5,53.91,59.14,1085.0,1159.4384091131044,1141.191530258803,1178.246325127001,"(-18.25, +18.81)","(-2.59, +2.64)",2025-04-06
quasar-alpha,54.28,51.73,57.16,909.0,1143.8251289398677,1125.9993553449588,1164.1043691800521,"(-17.83, +20.28)","(-2.55, +2.88)",2025-04-06
claude-3.7-sonnet(thinking),52.42,50.11,55.18,1248.0,1130.7998972994023,1114.735147558555,1150.1236291750279,"(-16.06, +19.32)","(-2.31, +2.76)",2025-04-06
gemini-2.5-pro-exp-03-25,51.25,48.51,54.13,2577.0,1122.7054339236006,1103.6730337665228,1142.751229915668,"(-19.03, +20.05)","(-2.74, +2.88)",2025-04-06
gemini-2.0-pro-exp-02-05,50.98,47.46,54.51,2372.0,1120.7859149398987,1096.3499294293508,1145.4416230559068,"(-24.44, +24.66)","(-3.52, +3.53)",2025-04-06
claude-3.7-sonnet,50.0,50.0,50.0,1094.0,1114.0,1114.0,1114.0,"(-0.00, +0.00)","(-0.00, +0.00)",2025-04-06
chatgpt-4o-latest(2025-03-26),49.85,47.0,52.38,1111.0,1112.9527623587248,1093.1423951907323,1130.5712204910615,"(-19.81, +17.62)","(-2.85, +2.53)",2025-04-06
deepseek-r1,48.63,45.79,52.11,1218.0,1104.4489741104203,1084.7076478029526,1128.6767931129557,"(-19.74, +24.23)","(-2.84, +3.48)",2025-04-06
o3-mini-high,47.88,45.08,50.25,1265.0,1099.2383974054378,1079.6904376786142,1115.7650456377435,"(-19.55, +16.53)","(-2.80, +2.37)",2025-04-06
o1-high,47.52,45.61,50.63,1512.0,1096.7746311323108,1083.4016010573307,1118.3989622519173,"(-13.37, +21.62)","(-1.91, +3.11)",2025-04-06
gpt-4.5-preview,45.64,43.42,47.78,1040.0,1083.640120275312,1068.0162407106652,1098.5322130233951,"(-15.62, +14.89)","(-2.22, +2.14)",2025-04-06
o1-medium,45.47,43.25,48.29,1490.0,1082.4572769430124,1066.7829562551083,1102.0975482395047,"(-15.67, +19.64)","(-2.22, +2.82)",2025-04-06
o1-low,40.01,37.5,42.79,1513.0,1043.6124649615508,1025.2886815506847,1063.5225820967914,"(-18.32, +19.91)","(-2.51, +2.78)",2025-04-06
o3-mini-medium,38.6,36.3,41.08,1221.0,1033.3519151981172,1016.3373570215056,1051.3764608961546,"(-17.01, +18.02)","(-2.30, +2.48)",2025-04-06
claude-3.5-sonnet,36.73,34.01,39.51,682.0,1019.552276198995,998.8770099301073,1040.017928797936,"(-20.68, +20.47)","(-2.72, +2.78)",2025-04-06
o3-mini-low,32.78,30.99,34.65,1205.0,989.2202872681603,974.897038844565,1003.7793242602804,"(-14.32, +14.56)","(-1.79, +1.87)",2025-04-06
command-a,32.62,30.57,34.81,1083.0,987.9561857783822,971.4875339555982,1004.9810448553487,"(-16.47, +17.02)","(-2.05, +2.19)",2025-04-06
qwen-max,29.96,27.9,31.72,1420.0,966.5027210095091,949.0674982603784,980.8275552483595,"(-17.44, +14.32)","(-2.06, +1.76)",2025-04-06
gemini-2.0-flash-thinking-exp-01-21,29.03,26.79,31.32,2497.0,958.7035408762071,939.3190945346146,977.6299551899224,"(-19.38, +18.93)","(-2.24, +2.29)",2025-04-06
gpt-4o-2024-11-20,28.88,26.79,30.8,1142.0,957.4780988400398,939.336007045039,973.3703094849102,"(-18.14, +15.89)","(-2.09, +1.92)",2025-04-06
qwq-32b,27.74,25.71,30.36,1517.0,947.6682935785684,929.6817794688853,969.7636192619773,"(-17.99, +22.10)","(-2.03, +2.62)",2025-04-06
claude-3.5-haiku,25.6,22.62,28.64,601.0,928.6500147334084,900.365214855656,955.4366745389121,"(-28.28, +26.79)","(-2.98, +3.04)",2025-04-06
qwen-plus,24.7,22.71,26.63,1346.0,920.3660809670386,901.2424470752546,937.9702663600461,"(-19.12, +17.60)","(-1.99, +1.93)",2025-04-06
claude-3.5-sonnet-20240620,24.05,21.84,26.66,628.0,914.1967300268808,892.5390515198515,938.2164681077999,"(-21.66, +24.02)","(-2.21, +2.61)",2025-04-06
gemini-2.0-flash-001,23.69,21.66,25.22,1901.0,910.7847239213828,890.6739454522464,925.171513762272,"(-20.11, +14.39)","(-2.03, +1.53)",2025-04-06
deepseek-v3,21.47,19.65,23.45,1007.0,888.6831805359932,869.3610604754222,908.5205736629027,"(-19.32, +19.84)","(-1.82, +1.98)",2025-04-06
gemma-3-27b-it,20.3,18.64,21.91,1655.0,876.3946960717833,857.9643112290028,893.2571005865462,"(-18.43, +16.86)","(-1.66, +1.61)",2025-04-06
gemini-2.0-flash-lite-001,18.28,16.64,19.98,2196.0,853.8120462473717,834.0795251048112,872.9562873930107,"(-19.73, +19.14)","(-1.64, +1.70)",2025-04-06
grok-2-1212,13.05,11.58,14.39,898.0,784.4647588655871,760.7827655491412,804.205212393327,"(-23.68, +19.74)","(-1.47, +1.34)",2025-04-06
jamba-1.6-large,11.68,10.43,12.82,863.0,762.5868112983991,740.5138496061716,781.0548315707775,"(-22.07, +18.47)","(-1.25, +1.14)",2025-04-06
nova-pro-v1,11.23,9.82,12.53,905.0,754.8421938489746,728.8202403234465,776.3806132050437,"(-26.02, +21.54)","(-1.41, +1.30)",2025-04-06
gpt-4o-mini,11.02,9.55,12.41,830.0,751.1509645977897,723.3647340941803,774.5970163374452,"(-27.79, +23.45)","(-1.47, +1.39)",2025-04-06
qwen-2.5-72b-instruct,10.57,9.44,11.81,1097.0,743.0424318260641,721.2152756491339,764.7993953000197,"(-21.83, +21.76)","(-1.13, +1.24)",2025-04-06
mistral-large-2411,9.9,8.79,11.29,906.0,730.3884531921371,707.6492033204441,755.9134866138766,"(-22.74, +25.53)","(-1.11, +1.39)",2025-04-06
minimax-01,9.61,8.61,10.55,1071.0,724.6233251209576,703.731092414854,742.6437712916702,"(-20.89, +18.02)","(-1.00, +0.94)",2025-04-06
gpt-4-1106-preview,9.23,7.86,10.65,840.0,716.8500052494339,686.3330786809505,744.4487775159582,"(-30.52, +27.60)","(-1.37, +1.42)",2025-04-06
gemma-2-27b-it,9.18,7.62,10.4,794.0,715.9623164312715,680.5587290331737,739.8482105597184,"(-35.40, +23.89)","(-1.56, +1.22)",2025-04-06
qwen2.5-32b-instruct,6.62,5.6,7.67,795.0,654.2319313714705,623.2606811876694,681.813525395205,"(-30.97, +27.58)","(-1.02, +1.05)",2025-04-06
command-r-plus-08-2024,6.39,5.47,7.18,969.0,647.7876518356726,618.9368674193777,669.3031500441432,"(-28.85, +21.52)","(-0.92, +0.79)",2025-04-06
hermes-3-llama-3.1-405b,6.15,4.98,7.17,771.0,640.5132270364952,601.7652036160034,669.2528341015902,"(-38.75, +28.74)","(-1.17, +1.02)",2025-04-06
mistral-small-3.1-24b-instruct-2503,5.85,5.12,6.87,961.0,631.417833370904,606.7559561833201,661.2654353944519,"(-24.66, +29.85)","(-0.73, +1.02)",2025-04-06
qwen-turbo,5.69,4.66,6.74,623.0,626.2242478702057,589.7988391176212,657.5005975361368,"(-36.43, +31.28)","(-1.03, +1.05)",2025-04-06
nova-lite-v1,5.32,4.43,6.13,994.0,613.8260387070101,580.2282775025071,639.9091894533923,"(-33.60, +26.08)","(-0.89, +0.81)",2025-04-06
wizardlm-2-8x22b,5.11,4.41,5.9,1028.0,606.527593547422,579.5397691698291,632.8390196598406,"(-26.99, +26.31)","(-0.70, +0.79)",2025-04-06
lfm-7b,5.07,4.34,5.65,1011.0,604.9297236862872,576.7882453576252,624.7954142039736,"(-28.14, +19.87)","(-0.73, +0.58)",2025-04-06
hermes-3-llama-3.1-70b,4.83,3.83,5.77,771.0,596.2172081153162,553.9756296660981,628.7994329738378,"(-42.24, +32.58)","(-1.00, +0.94)",2025-04-06
mistral-small-24b-instruct-2501,4.63,3.76,5.43,998.0,588.446356420341,550.927329893366,617.6225851424745,"(-37.52, +29.18)","(-0.87, +0.80)",2025-04-06
gemma-2-9b-it,4.48,3.54,5.43,751.0,582.370305354597,539.7936416060628,617.5738585351305,"(-42.58, +35.20)","(-0.94, +0.95)",2025-04-06
command-r-08-2024,3.6,2.79,4.46,796.0,542.8925148145969,497.0711827189715,581.5161017336916,"(-45.82, +38.62)","(-0.81, +0.86)",2025-04-06
